Rok,Ogolem,Uniwersytety,Uczelnie techniczne,Uczelnie rolnicze,Uczelnie ekonomiczne,Uczelnie pedagogiczne,Uczelnie morskie,Uniwersytety medyczne,Akademie wychowania fizycznego,Uczelnie artystyczne,Uczelnie teologiczne
2000,1448867,443291,318377,85539,369498,148293,10135,29487,22171,12793,9283
2001,1547364,510145,334511,91339,386596,134089,11688,32824,23010,13314,9848
2002,1603355,531139,344906,98408,390479,138973,12425,38742,23790,14316,10177
2003,1613607,543368,342407,104077,382319,137204,12216,42360,24893,14563,10200
2004,1633481,554878,340219,107645,387878,133800,12111,44460,26951,15101,10438
2005,1635699,563062,331052,107696,407755,111846,11476,48842,28157,15391,10422
2006,1603168,550494,318905,91997,406171,117409,10500,53060,29048,14932,10652
2007,1580747,538208,310555,89735,410810,110334,9921,56114,28713,15377,10980
2008,1519707,526381,322111,87556,356561,107668,10103,58015,28184,15736,7392
2009,1472819,535576,317468,81245,309991,106822,9977,59922,28206,16132,7480
2010,1430154,526796,318738,80494,278425,102540,10402,61957,27574,16444,6784
2011,1379699,516237,337828,80430,248642,73585,10566,61210,27231,16970,7000
2012,1324540,492939,343083,79403,223467,64956,10398,60595,26459,17134,6106
2013,1233911,454225,331099,76064,199409,54921,10064,59665,25335,17065,6064
2014,1179173,434371,319019,73491,186608,49005,9647,59691,24570,17255,5516
2015,1136382,421772,301412,70792,179122,46122,9436,60606,24727,16938,5455
2016,1092799,403330,285165,68031,173849,43751,8911,62270,24754,17082,5656
2017,1038346,388373,258007,62355,172636,40632,8157,64275,21361,17192,5358
2018,981470,363280,235134,56747,172353,39902,7387,65423,19383,16813,5048
